class_code,college_name,department_name,course_name,professor,class_time,class_type
SIS4001-41,스포츠과학대학,스포츠과학과,"스포츠인터랙션사이언스
Sports Interaction Science",김태희,"화18:00-19:15【05132】,화19:30-20:45【05132】",일반수업
SPT2009-41,스포츠과학대학,스포츠과학과,"스포츠법학
Sport Law",유일현,"목09:00-10:15【51306】,목10:30-11:45【51306】",일반수업
SPT2021-41,스포츠과학대학,스포츠과학과,"배구
Volleyball",김영준,"월15:00-15:50【51307】,월16:00-16:50【51307】",일반수업
SPT2024-41,스포츠과학대학,스포츠과학과,"배드민턴
Badminton",박정윤,"화12:00-12:50【05124A】,화13:00-13:50【05124A】",일반수업
SPT2030-41,스포츠과학대학,스포츠과학과,"체육측정평가
Measurement and Evaluation in Physical Education",황수웅,"월09:00-10:15【51307】,월10:30-11:45【51307】",일반수업
SPT2031-41,스포츠과학대학,스포츠과학과,"운동역학
Sport Biomechanics",전윤걸,"금09:00-10:15【51306】,금10:30-11:45【51306】",일반수업
SPT2040-41,스포츠과학대학,스포츠과학과,"글로벌스포츠이슈
Global Sport Issues",김영준,"월12:00-13:15【51306】,수13:30-14:45【51306】",일반수업
SPT2045-41,스포츠과학대학,스포츠과학과,"스포츠재무관리
Sports Finance",편현웅,"월13:30-14:45【51306】,수12:00-13:15【51306】",일반수업
SPT3029-41,스포츠과학대학,스포츠과학과,"탁구
Table Tennis",이재욱,"화15:00-15:50【51307】,화16:00-16:50【51307】",일반수업
SPT3056-41,스포츠과학대학,스포츠과학과,"운동학습및심리
Motor Learning & Psychology",이지항,"화13:30-14:45【51306】,목12:00-13:15【51306】",일반수업
SPT2030-41,스포츠과학대학,스포츠과학과,"체육측정평가
Measurement and Evaluation in Physical Education",황수웅,"월09:00-10:15【51307】,월10:30-11:45【51307】",일반수업
SPT2031-41,스포츠과학대학,스포츠과학과,"운동역학
Sport Biomechanics",전윤걸,"금09:00-10:15【51306】,금10:30-11:45【51306】",일반수업
SPT2040-41,스포츠과학대학,스포츠과학과,"글로벌스포츠이슈
Global Sport Issues",김영준,"월12:00-13:15【51306】,수13:30-14:45【51306】",일반수업
SPT2045-41,스포츠과학대학,스포츠과학과,"스포츠재무관리
Sports Finance",편현웅,"월13:30-14:45【51306】,수12:00-13:15【51306】",일반수업
SPT3004-41,스포츠과학대학,스포츠과학과,"운동처방론
Exercise Prescription",강현식,"수09:00-10:15【51306】,수10:30-11:45【51306】",일반수업
SPT3005-41,스포츠과학대학,스포츠과학과,"스포츠의학
Sport Medicine",김경민,"금15:00-16:15【51306】,금16:30-17:45【51306】",일반수업
SPT3029-41,스포츠과학대학,스포츠과학과,"탁구
Table Tennis",이재욱,"화15:00-15:50【51307】,화16:00-16:50【51307】",일반수업
SPT3056-41,스포츠과학대학,스포츠과학과,"운동학습및심리
Motor Learning & Psychology",이지항,"화13:30-14:45【51306】,목12:00-13:15【51306】",일반수업
SPT3060-41,스포츠과학대학,스포츠과학과,"인체병리생리학
Human Pathophysiology",조진경,"월09:00-10:15【51306】,월10:30-11:45【51306】",일반수업
SPT3068-41,스포츠과학대학,스포츠과학과,"플로어볼
Floor Ball",김세웅,"목14:00-14:50【51307】,목15:00-15:50【51307】",일반수업
SPT3069-41,스포츠과학대학,스포츠과학과,"골프II
Golf II",이정연,"금09:00-09:50【51307】,금10:00-10:50【51307】",일반수업
SPT3073-41,스포츠과학대학,스포츠과학과,"스포츠커뮤니케이션
Sport Communication",장원석,"화12:00-13:15【51306】,목13:30-14:45【51306】",일반수업
SPT3004-41,스포츠과학대학,스포츠과학과,"운동처방론
Exercise Prescription",강현식,"수09:00-10:15【51306】,수10:30-11:45【51306】",일반수업
SPT3005-41,스포츠과학대학,스포츠과학과,"스포츠의학
Sport Medicine",김경민,"금15:00-16:15【51306】,금16:30-17:45【51306】",일반수업
SPT4009-41,스포츠과학대학,스포츠과학과,"디지털피트니스
Digital Fitness",김경민,"목18:00-19:15【05132】,목19:30-20:45【05132】",일반수업
SPT3068-41,스포츠과학대학,스포츠과학과,"플로어볼
Floor Ball",김세웅,"목14:00-14:50【51307】,목15:00-15:50【51307】",일반수업
SPT3069-41,스포츠과학대학,스포츠과학과,"골프II
Golf II",이정연,"금09:00-09:50【51307】,금10:00-10:50【51307】",일반수업
SPT3073-41,스포츠과학대학,스포츠과학과,"스포츠커뮤니케이션
Sport Communication",장원석,"화12:00-13:15【51306】,목13:30-14:45【51306】",일반수업
SPT3077-41,스포츠과학대학,스포츠과학과,"스포츠창업과기업가정신
Sports Start-up & Entrepreneurship",김태희,"화09:00-10:15【51306】,화10:30-11:45【51306】",일반수업
SPT3079-41,스포츠과학대학,스포츠과학과,"필라테스(기구)
Pilates(Instrument)",이상희,"수15:00-15:50【51307】,수16:00-16:50【51307】",일반수업
SPT3086-41,스포츠과학대학,스포츠과학과,"응용스포츠심리
Applied Sport Psychology",조희태,"화15:00-16:15【51306】,목16:30-17:45【51306】",일반수업
SPT4004-41,스포츠과학대학,스포츠과학과,"스포츠심리학연구
Studies in Sport Psychology",조희태,"월15:00-16:15【05133】,월16:30-17:45【05133】",일반수업
SPT4009-41,스포츠과학대학,스포츠과학과,"디지털피트니스
Digital Fitness",김경민,"목18:00-19:15【05132】,목19:30-20:45【05132】",일반수업
SPT3068-41,스포츠과학대학,스포츠과학과,"플로어볼
Floor Ball",김세웅,"목14:00-14:50【51307】,목15:00-15:50【51307】",일반수업
SPT3069-41,스포츠과학대학,스포츠과학과,"골프II
Golf II",이정연,"금09:00-09:50【51307】,금10:00-10:50【51307】",일반수업
SPT3073-41,스포츠과학대학,스포츠과학과,"스포츠커뮤니케이션
Sport Communication",장원석,"화12:00-13:15【51306】,목13:30-14:45【51306】",일반수업
SPT3077-41,스포츠과학대학,스포츠과학과,"스포츠창업과기업가정신
Sports Start-up & Entrepreneurship",김태희,"화09:00-10:15【51306】,화10:30-11:45【51306】",일반수업
SPT3079-41,스포츠과학대학,스포츠과학과,"필라테스(기구)
Pilates(Instrument)",이상희,"수15:00-15:50【51307】,수16:00-16:50【51307】",일반수업
SPT3086-41,스포츠과학대학,스포츠과학과,"응용스포츠심리
Applied Sport Psychology",조희태,"화15:00-16:15【51306】,목16:30-17:45【51306】",일반수업
SPT4004-41,스포츠과학대학,스포츠과학과,"스포츠심리학연구
Studies in Sport Psychology",조희태,"월15:00-16:15【05133】,월16:30-17:45【05133】",일반수업
SPT4009-41,스포츠과학대학,스포츠과학과,"디지털피트니스
Digital Fitness",김경민,"목18:00-19:15【05132】,목19:30-20:45【05132】",일반수업
SPT3068-41,스포츠과학대학,스포츠과학과,"플로어볼
Floor Ball",김세웅,"목14:00-14:50【51307】,목15:00-15:50【51307】",일반수업
SPT3069-41,스포츠과학대학,스포츠과학과,"골프II
Golf II",이정연,"금09:00-09:50【51307】,금10:00-10:50【51307】",일반수업
SPT3073-41,스포츠과학대학,스포츠과학과,"스포츠커뮤니케이션
Sport Communication",장원석,"화12:00-13:15【51306】,목13:30-14:45【51306】",일반수업
SPT3077-41,스포츠과학대학,스포츠과학과,"스포츠창업과기업가정신
Sports Start-up & Entrepreneurship",김태희,"화09:00-10:15【51306】,화10:30-11:45【51306】",일반수업
SPT3079-41,스포츠과학대학,스포츠과학과,"필라테스(기구)
Pilates(Instrument)",이상희,"수15:00-15:50【51307】,수16:00-16:50【51307】",일반수업
SPT3086-41,스포츠과학대학,스포츠과학과,"응용스포츠심리
Applied Sport Psychology",조희태,"화15:00-16:15【51306】,목16:30-17:45【51306】",일반수업
SPT4004-41,스포츠과학대학,스포츠과학과,"스포츠심리학연구
Studies in Sport Psychology",조희태,"월15:00-16:15【05133】,월16:30-17:45【05133】",일반수업
SPT4009-41,스포츠과학대학,스포츠과학과,"디지털피트니스
Digital Fitness",김경민,"목18:00-19:15【05132】,목19:30-20:45【05132】",일반수업
SPT3068-41,스포츠과학대학,스포츠과학과,"플로어볼
Floor Ball",김세웅,"목14:00-14:50【51307】,목15:00-15:50【51307】",일반수업
SPT3069-41,스포츠과학대학,스포츠과학과,"골프II
Golf II",이정연,"금09:00-09:50【51307】,금10:00-10:50【51307】",일반수업
SPT3073-41,스포츠과학대학,스포츠과학과,"스포츠커뮤니케이션
Sport Communication",장원석,"화12:00-13:15【51306】,목13:30-14:45【51306】",일반수업
SPT3077-41,스포츠과학대학,스포츠과학과,"스포츠창업과기업가정신
Sports Start-up & Entrepreneurship",김태희,"화09:00-10:15【51306】,화10:30-11:45【51306】",일반수업
SPT3079-41,스포츠과학대학,스포츠과학과,"필라테스(기구)
Pilates(Instrument)",이상희,"수15:00-15:50【51307】,수16:00-16:50【51307】",일반수업
SPT3086-41,스포츠과학대학,스포츠과학과,"응용스포츠심리
Applied Sport Psychology",조희태,"화15:00-16:15【51306】,목16:30-17:45【51306】",일반수업
SPT4004-41,스포츠과학대학,스포츠과학과,"스포츠심리학연구
Studies in Sport Psychology",조희태,"월15:00-16:15【05133】,월16:30-17:45【05133】",일반수업
SPT4009-41,스포츠과학대학,스포츠과학과,"디지털피트니스
Digital Fitness",김경민,"목18:00-19:15【05132】,목19:30-20:45【05132】",일반수업
SPT3068-41,스포츠과학대학,스포츠과학과,"플로어볼
Floor Ball",김세웅,"목14:00-14:50【51307】,목15:00-15:50【51307】",일반수업
SPT3069-41,스포츠과학대학,스포츠과학과,"골프II
Golf II",이정연,"금09:00-09:50【51307】,금10:00-10:50【51307】",일반수업
SPT3073-41,스포츠과학대학,스포츠과학과,"스포츠커뮤니케이션
Sport Communication",장원석,"화12:00-13:15【51306】,목13:30-14:45【51306】",일반수업
SPT3077-41,스포츠과학대학,스포츠과학과,"스포츠창업과기업가정신
Sports Start-up & Entrepreneurship",김태희,"화09:00-10:15【51306】,화10:30-11:45【51306】",일반수업
